,Economics,House,Society,Fashion,Education,Technology,Politics,PE,Game,Entertainment
基金,30818.0,768.0,45.0,22.0,280.0,70.0,281.0,2.0,14.0,74.0
银行,13626.0,2453.0,946.0,15.0,736.0,74.0,355.0,13.0,22.0,29.0
市场,13990.0,12797.0,531.0,581.0,1589.0,769.0,1296.0,175.0,831.0,2240.0
产品,7829.0,3410.0,149.0,673.0,406.0,1539.0,880.0,36.0,764.0,158.0
记者,7143.0,7440.0,10408.0,256.0,2816.0,1549.0,3888.0,2383.0,453.0,5085.0
公司,4126.0,6364.0,2126.0,208.0,2123.0,770.0,448.0,46.0,1111.0,1311.0
债券,4624.0,258.0,3.0,0.0,46.0,4.0,123.0,2.0,3.0,2.0
信用卡,3163.0,20.0,169.0,18.0,174.0,59.0,16.0,1.0,37.0,6.0
客户,4040.0,2584.0,194.0,74.0,630.0,76.0,67.0,10.0,35.0,20.0
投资者,5186.0,1086.0,33.0,4.0,242.0,28.0,62.0,3.0,27.0,41.0
风险,4548.0,1647.0,80.0,18.0,513.0,335.0,338.0,62.0,53.0,66.0
收益,4412.0,799.0,18.0,2.0,119.0,13.0,76.0,6.0,76.0,68.0
利率,3097.0,523.0,6.0,0.0,24.0,3.0,78.0,0.0,0.0,0.0
股票,4046.0,531.0,55.0,2.0,97.0,4.0,39.0,2.0,32.0,22.0
资金,4306.0,4850.0,288.0,14.0,1160.0,246.0,1340.0,12.0,127.0,206.0
经理,3114.0,601.0,243.0,10.0,307.0,70.0,36.0,66.0,116.0,159.0
人士,3694.0,2523.0,272.0,199.0,654.0,186.0,1029.0,222.0,172.0,399.0
资产,3714.0,1418.0,59.0,3.0,420.0,6.0,236.0,1.0,30.0,12.0
业务,3612.0,1152.0,235.0,33.0,474.0,141.0,464.0,21.0,184.0,42.0
净值,2722.0,46.0,0.0,0.0,29.0,0.0,7.0,0.0,0.0,0.0
数据,3416.0,3344.0,84.0,38.0,793.0,1535.0,496.0,1778.0,299.0,210.0
价格,3284.0,7244.0,294.0,565.0,473.0,1022.0,841.0,30.0,270.0,74.0
规模,3084.0,1311.0,31.0,54.0,445.0,339.0,493.0,7.0,249.0,176.0
仓位,2224.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
货币,2509.0,464.0,10.0,2.0,65.0,20.0,109.0,0.0,70.0,1.0
贷款,2093.0,1273.0,76.0,0.0,202.0,0.0,152.0,5.0,4.0,7.0
机构,2571.0,1489.0,171.0,81.0,3036.0,465.0,1279.0,19.0,106.0,109.0
经济,3468.0,5840.0,348.0,202.0,2124.0,239.0,3541.0,35.0,190.0,143.0
房贷,1746.0,898.0,5.0,0.0,15.0,0.0,31.0,1.0,0.0,2.0
情况,3006.0,4345.0,2029.0,125.0,3024.0,1578.0,2447.0,1892.0,809.0,659.0
行业,2576.0,3437.0,155.0,240.0,1040.0,158.0,532.0,11.0,432.0,195.0
跌幅,1857.0,167.0,0.0,2.0,11.0,0.0,20.0,2.0,2.0,35.0
汇率,1704.0,28.0,2.0,10.0,420.0,2.0,79.0,0.0,4.0,2.0
企业,2703.0,9339.0,431.0,289.0,1464.0,239.0,3243.0,16.0,248.0,74.0
比例,2133.0,1886.0,72.0,396.0,940.0,191.0,254.0,29.0,104.0,124.0
政策,2477.0,4604.0,84.0,14.0,2861.0,106.0,2327.0,26.0,61.0,55.0
金融,2116.0,1265.0,70.0,24.0,766.0,28.0,1110.0,3.0,17.0,84.0
业绩,2187.0,1128.0,20.0,16.0,50.0,1.0,67.0,7.0,50.0,12.0
信贷,1760.0,1220.0,3.0,0.0,16.0,2.0,174.0,1.0,2.0,0.0
股市,1871.0,904.0,25.0,7.0,24.0,5.0,57.0,5.0,2.0,20.0
收益率,1553.0,72.0,0.0,0.0,3.0,2.0,2.0,0.0,0.0,0.0
价值,1940.0,1992.0,332.0,270.0,412.0,307.0,146.0,365.0,310.0,283.0
全球,1923.0,974.0,64.0,377.0,1393.0,1315.0,567.0,31.0,697.0,517.0
旗下,1503.0,2345.0,22.0,103.0,59.0,92.0,29.0,16.0,456.0,82.0
存款,1209.0,118.0,111.0,0.0,228.0,0.0,48.0,1.0,5.0,0.0
策略,1551.0,582.0,8.0,24.0,115.0,60.0,78.0,97.0,303.0,83.0
涨幅,1668.0,1157.0,0.0,3.0,78.0,0.0,47.0,3.0,2.0,0.0
金额,1382.0,1043.0,211.0,63.0,287.0,8.0,204.0,34.0,40.0,28.0
A股,714.0,185.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0
账户,1194.0,190.0,231.0,1.0,315.0,8.0,473.0,5.0,24.0,3.0
艺术品,893.0,33.0,10.0,33.0,35.0,25.0,2.0,0.0,7.0,6.0
水平,1579.0,1643.0,74.0,67.0,1749.0,496.0,977.0,260.0,263.0,126.0
时间,1819.0,2578.0,1478.0,539.0,4523.0,5450.0,965.0,6880.0,2896.0,2390.0
份额,1058.0,187.0,17.0,12.0,42.0,13.0,21.0,0.0,37.0,28.0
行情,1416.0,463.0,13.0,3.0,25.0,143.0,12.0,23.0,4.0,4.0
本报,1013.0,763.0,531.0,4.0,121.0,163.0,227.0,70.0,5.0,473.0
商业银行,1072.0,144.0,2.0,0.0,11.0,2.0,28.0,0.0,0.0,0.0
品种,1262.0,58.0,27.0,19.0,29.0,89.0,95.0,1.0,3.0,13.0
方式,1424.0,1919.0,569.0,359.0,1720.0,1105.0,924.0,522.0,1398.0,917.0
人员,1152.0,1454.0,2993.0,81.0,1731.0,2729.0,1890.0,304.0,466.0,1143.0
幅度,1078.0,656.0,10.0,16.0,95.0,48.0,68.0,10.0,18.0,10.0
作品,1123.0,254.0,109.0,503.0,209.0,382.0,29.0,3.0,1510.0,2364.0
利息,917.0,220.0,91.0,1.0,79.0,5.0,46.0,1.0,7.0,2.0
艺术,1097.0,329.0,84.0,488.0,729.0,146.0,59.0,10.0,122.0,869.0
公告,1161.0,787.0,34.0,2.0,23.0,13.0,114.0,5.0,119.0,10.0
压力,1236.0,1190.0,250.0,93.0,779.0,415.0,287.0,435.0,206.0,597.0
资本,1264.0,1075.0,10.0,23.0,90.0,46.0,138.0,54.0,45.0,50.0
原因,1194.0,1936.0,766.0,122.0,1127.0,842.0,435.0,899.0,456.0,736.0
大盘,1147.0,210.0,3.0,0.0,2.0,0.0,0.0,3.0,0.0,16.0
手续费,701.0,26.0,13.0,1.0,134.0,4.0,15.0,2.0,2.0,0.0
部门,1007.0,1937.0,996.0,18.0,687.0,347.0,2221.0,36.0,105.0,138.0
需求,1146.0,4199.0,61.0,140.0,653.0,242.0,489.0,21.0,274.0,106.0
优势,1041.0,1011.0,26.0,106.0,1244.0,247.0,310.0,1816.0,406.0,182.0
收入,1102.0,2672.0,295.0,64.0,1526.0,78.0,648.0,64.0,229.0,401.0
